PG.ProteinGroups	PG.Organisms	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	[1] 01	[2] 02	[3] 03	[4] 04	[5] 05	[6] 06	[7] 07	[8] 08	[9] 09	[10] 10	[11] 11	[12] 12	[13] 13	[14] 14	[15] 15	[16] 16	[17] 17	[18] 18	[19] 19	[20] 20	[21] 21	[22] 22	[23] 23	[24] 24	[25] 25	[26] 26	[27] 27	[28] 28	[29] 29	[30] 30	[31] 31	[32] 32	[33] 33	[34] 34	[35] 35
>KFV88920.1;>XP_009578284.1	Unknown	"Mitochondrial calcium uniporter regulatory subunit MCUb, partial;PREDICTED: mitochondrial calcium uniporter regulatory subunit MCUb, partial"	1	2137.023193	7651.628418	4961.046875	7938.626465	5929.187012	2724.172607	2720.939697	5544.283691	3104.06958	4160.87207	1170.965576	3086.546631	4827.000977	5189.665039	6029.518555	2819.258057	4656.34082	3937.532471	3057.515869	NaN	2021.229492	2379.872803	1539.664307	2559.204102	1891.187256	2565.272217	2710.087158	1488.026978	2735.863525	2431.404053	1830.058105	2508.968262	1110.575684	6029.581055	2658.595459
>KFV88945.1;>XP_009585375.1	Unknown	"Platelet glycoprotein Ib beta chain, partial;PREDICTED: platelet glycoprotein Ib beta chain"	1	414.8102417	NaN	NaN	1135.967773	NaN	NaN	NaN	477.8808289	NaN	965.0074463	2212.080078	NaN	NaN	451.6240234	6565.64502	NaN	551.9044189	2279.309326	NaN	NaN	NaN	NaN	NaN	NaN	6054.495117	NaN	NaN	1552.24646	NaN	1262.42334	387.8944397	NaN	NaN	449.6994629	NaN
>KFV88988.1;>KFW09260.1;>XP_009570567.1;>XP_009580914.1	Unknown	Histone H2B 5;Histone H2B 5;PREDICTED: histone H2B 5;PREDICTED: histone H2B 5-like	4	153017.9375	61469.90625	56149.63672	120732.4219	43852.51563	19980.99023	43656.47656	53673.02344	38790.24219	22010.22656	44193.97656	53319.23047	26460.16406	26253.24219	116042.2969	71102.39063	31634.3125	49832.00781	11113.27246	23056.80273	140929.9063	64613.25391	69476.72656	32738.26367	68356.9375	2402.686523	25498.9043	82227.44531	30743.62695	37596.33203	75062.66406	70373.125	57088.60938	21150.27734	14818.24805
>KFV89009.1;>XP_009571412.1	Unknown	"Alcohol dehydrogenase 1, partial;PREDICTED: alcohol dehydrogenase 1, partial"	2	NaN	2037.566406	NaN	131.7830505	NaN	127.6557999	251.5133667	NaN	NaN	108.694603	176.7527618	59.29070282	2333.614746	728.892334	NaN	476.3518372	2570.491699	NaN	252.5595856	NaN	NaN	NaN	1147.579346	NaN	NaN	NaN	2.132742882	NaN	2702.645996	352.1269836	NaN	NaN	NaN	NaN	260.6141968
>KFV89023.1;>XP_009571995.1	Unknown	"Acidic mammalian chitinase, partial;PREDICTED: acidic mammalian chitinase"	12	272772.7813	135052.1719	88891.35156	135441.4063	206088.2344	187957.25	173688.7969	171434.3594	167247.7656	223461.6094	174495.5625	208240.1563	104629.3906	193102.8906	158263.6406	176042.4063	18178.29102	140317.8906	38988.14844	60704.67188	228578.7656	378103.75	153057.0156	175879.2031	102298.3125	126865.4219	146874.4219	195753.4688	137996.6406	45704.61719	169075.4531	116045.9453	84458.36719	121172.4453	200626.7031
>KFV89031.1;>XP_009572317.1	Unknown	"Acid ceramidase, partial;PREDICTED: acid ceramidase"	1	NaN	1103.527222	1051.848145	NaN	3645.768799	2453.999756	NaN	1562.173462	1122.484863	603.0003662	578.0150757	791.8556519	944.1054077	1308.834473	NaN	NaN	1281.79248	1657.727783	344.7392883	528.9180298	538.3190308	501.3495483	239.7851563	2615.511719	626.5765381	NaN	1916.318481	746.7073364	312.9582825	899.2119751	1066.944214	803.7284546	485.9542847	2312.50293	1204.187744
>KFV89051.1;>XP_009573360.1	Unknown	"hypothetical protein N327_04650;PREDICTED: ES1 protein homolog, mitochondrial-like"	1	50459.62109	NaN	NaN	NaN	17760.14844	NaN	17110.50781	30056.13867	NaN	37601.83203	43053.46094	48600.27344	32483.17578	38467.60547	NaN	NaN	NaN	58191.11719	NaN	NaN	NaN	51232.61328	40186.22656	NaN	43565.47656	NaN	NaN	23810.10352	21912.40039	31385.56836	NaN	NaN	30525.25391	NaN	NaN
>KFV89136.1;>XP_009576648.1	Unknown	"Integral membrane protein 2B, partial;PREDICTED: integral membrane protein 2B, partial"	1	1029.645264	NaN	609.2474365	NaN	NaN	542.6887207	NaN	872.1499023	428.8101501	NaN	555.5137329	550.7267456	3400.135742	1502.935669	1272.423828	650.1147461	430.2703552	2071.73291	1190.259766	603.586853	384.719635	234.329834	509.6749878	640.369751	805.5863037	NaN	1335.847778	1552.440796	3652.410889	1504.508667	NaN	1013.816589	542.142395	1198.061035	970.5913086
>KFV89158.1;>XP_009577784.1	Unknown	"Proteasome subunit alpha type-7, partial;PREDICTED: proteasome subunit alpha type-7, partial"	5	10284.13281	9868.25293	7342.181152	7696.65918	5543.721191	11215.43945	7801.939941	9850.268555	11479.70508	8792.888672	8632.775391	10549.00293	9706.681641	6465.119141	5016.134277	6396.945313	11305.52051	4819.268066	8209.652344	5168.544434	4015.798096	3523.062256	6481.513184	9176.081055	8672.552734	11699.79785	3734.37085	5588.942383	13245.53223	3969.296143	2480.359131	1991.727905	6156.038086	2315.029053	3511.89917
>KFV89174.1;>XP_009578486.1	Unknown	"Acidic leucine-rich nuclear phosphoprotein 32 family member E, partial;PREDICTED: acidic leucine-rich nuclear phosphoprotein 32 family member E isoform X1"	4	3044.540039	NaN	NaN	998.6060791	1.355680346	4201.190918	236.1195984	2607.195801	2489.583984	NaN	1579.949463	1462.467896	1339.183472	1947.277954	NaN	1187.451538	2053.742432	1158.298584	2472.297852	729.6802979	NaN	3757.325684	480.1874084	NaN	2481.92041	522.4143677	837.321106	1405.353271	1860.663208	859.0609131	NaN	NaN	1489.458252	NaN	1774.855103
>KFV89182.1;>XP_009578849.1	Unknown	"Multifunctional protein ADE2, partial;PREDICTED: multifunctional protein ADE2, partial"	17	425.5570984	0.741319716	NaN	1010.928223	44.91022873	1486.84314	939.0803833	146.6005554	4793.82666	1263.125977	994.2366333	1443.2323	19947.76953	7894.808594	324.0544434	5715.30127	24451.86328	NaN	919.3636475	214.5554047	3.757326841	1606.682007	2304.829346	NaN	233.1461792	761.1694946	1096.008423	1484.786133	6241.088379	3318.112305	13.04071999	2.810454845	481.9444275	698.0275269	251.7560425
