Sample_ID,Group,Mass,WC,HB,Cul
91095,HP,625,305,92.4,39.8
91057,LP,690,310,98.4,42.3
91073,LP,645,293,89.2,38.7
91075,HP,685,292,90.2,38
91084,LP,655,295,88.4,37
BW06,LP,290,231,90.3,40.7
91099,HP,635,310,95.1,40.9
91081,LP,600,308,93,39.7
91058,LP,670,327,94.5,41.4
89702,HP,590,299,92,38.5
91074,LP,630,309,94.9,40.5
89703,HP,640,305,92.5,39
91096,HP,690,314,90.6,38
91087,HP,620,300,88,36.7
89704,LP,680,297,91.6,40.6
89701,HP,620,312,91,38.6
NL03,LP,360,280,92,41.7
91098,HP,805,308,95.8,42.8
NL06,HP,425,260,93.9,41.1
91091,HP,560,296,93.3,38.9
91076,HP,765,272,90.4,37
91059,HP,890,304,97.7,41.4
91054,HP,610,311,89.2,38.8
91055,LP,595,313,95.5,40.3
91097,HP,575,291,89,38.2
NL08,LP,310,277,90,41.4
91085,LP,655,302,95.4,41.1
91062,HP,565,297,91,38.7
91093,HP,720,311,93.1,37.7
91089,HP,665,312,90.4,38.2
91053,LP,580,303,90.4,38
91082,LP,730,312,95.4,40.3
91094,HP,760,309,90.2,38
91051,LP,700,299,94.3,39.6
91064,LP,750,297,91,37.9
