Genes,Intracellular_Secreted
ASAH1,Intracellular
PAICS,Intracellular
PGD,Intracellular
CTHRC1,Secreted
NPM1,Intracellular
SOD3,Secreted
C7,Secreted
NPEPPS,Intracellular
TFRC,Secreted
ADSL,Intracellular
PPP2CA,Intracellular
SAR1B,Intracellular
HSPA4,Intracellular
TUB7,Intracellular
MINPP1,Intracellular
AKR1B1,Intracellular
CNMD,Secreted
FKBP4,Intracellular
SELENBP1,Intracellular
TPI1,Intracellular
ADH5,Intracellular
CAPZA2,Intracellular
NCAM1,Secreted
CSTB,Intracellular
GLO1,Intracellular
AGA,Intracellular
ALCAM,Secreted
TKT,Intracellular
CBR1,Intracellular
F7,Secreted
PAFAH1B2,Intracellular
CCT2,Intracellular
ACP1,Intracellular
RAN,Intracellular
LAMP2,Intracellular
ALDOB,Intracellular
CBR1,Intracellular
GPI,Intracellular
ACTR3B,Intracellular
TXNDC17,Intracellular
HABP2,Secreted
SELENOP,Secreted
GSTM1,Intracellular
PABPC1,Intracellular
HMGB3,Intracellular
CALM1,Intracellular
ICDH,Intracellular
SERPINF1,Secreted
SERPINF2,Secreted
PRDX1,Intracellular
SEC14L1,Intracellular
MAT1A,Intracellular
F2,Secreted
TAGLN3,Intracellular
HMGB1,Intracellular
GPLD1,Secreted
CAND1,Intracellular
GAPDH,Intracellular
LSM3,Intracellular
ARPC5,Intracellular
PLG,Secreted
HNRNPAB,Intracellular
SOD1,Intracellular
ARHGDIA,Intracellular
YWHAZ,Intracellular
AGT,Secreted
DSTN,Intracellular
PTBP1,Intracellular
SERPINB6,Intracellular
RAB1A,Intracellular
ENPP6,Intracellular
PDLIM5,Intracellular
CAPN1,Intracellular 
PCBP3,Intracellular
PLTP,Secreted
WDR1,Intracellular
ITGA11,Intracellular
AHNAK,Intracellular
MSN,Intracellular
ENO1,Intracellular
TPM2,Intracellular
ACTA2,Intracellular
B4GALT1,Secreted
PKM,Intracellular
TPT1,Intracellular
BLVRA,Intracellular
OLFM1,Secreted
BHMT,Intracellular
CMPK1,Intracellular
ALDH9A1,Intracellular
LUM,Secreted
TUBB6,Intracellular
MDH1,Intracellular
EEF1A1,Intracellular
KPNB1,Intracellular
S100P,Intracellular
ARPC2,Intracellular
YWHAQ,Intracellular
NPL,Secreted
PSMA6,Intracellular
TUBA4A,Intracellular
TTR,Secreted
APOD,Secreted
SERPIND1,Secreted
EEF2,Intracellular
HGFAC,Secreted
MTPN,Intracellular
HSP90AA1,Intracellular
EIF4A2,Intracellular
DPYSL2,Intracellular
HSPA8,Intracellular
RAC2,Intracellular
ACTG1,Intraceullar
LDHA,Intracellular
GPX3,Secreted
GD12,Intracellular
TUBA8,Intracellular
CYRIB,Intracellular
ADH,Intracellular
PPIA,Secreted
COMP,Secreted
PGA5,Secreted
CLEC3B,Secreted
GPX1,Intracellular
VCL,Intracellular
HNRNPH1,Intracellular
TUBA3C,Intracellular
PROS1,Secreted
CKB,Intracellular
ANTXR1,Intracellular
GKN2,Secreted
PSMA3,Intracellular
CSRP1,Intracellular
RBP4,Secreted
OPCML,Intracellular
ENPP2,Secreted
IGFALS,Secreted
ACTN1,Intracellular
VCL,Intracellular
DDX3X,Intracellular
SPINT1,Secreted
C1QTNF3,Secreted
PLS3,Intracellular
ADK,Intracellular
PGK1,Intracellular
ITGB1,Intracellular
SERPINC1,Secreted
YWHAG,Intracellular
VCP,Intracellular
LIPM,Secreted
MMRN2,Secreted
AP2A1,Intracellular
PEBP1,Intracellular
UBE2N,Intracellular
FGH,Intracellular
PLXNB2,Secreted
COL6A3,Secreted
ENPP2,Secreted
TUBA1C,Intracellular
ALDOC,Intracellular
ACTN4,Intracellular
OLFML3,Secreted
BDNF,Secreted
PRDX6,Intracellular
DSG2,Intracellular
PLA2R1,Secreted
ALB,Secreted
THBS2,Secreted
RAB10,Intracellular
MAN1A1,Intracellular
ANTXR2,Secreted
CFI,Secreted
MYH9,Intracellular
ARPC5L,Intracellular
ARF1,Intracellular
ITGA2,Secreted
TKT,Intracellular
CAP1,Intracellular
C7,Secreted
ATIC,Intracellular
GSTM3,Intracellular
EEF1D,Intracellular
H1,Intracellular
HLA-DRB1,Intracellular
LDHB,Intracellular
F10,Secreted
NIBAN1,Intracellular
PSIP1,Intracellular
NEO1,Secreted
PSAP,Secreted
GSN,Intracellular
